order_id,order_region_id,tran_type_id,order_status_id,customer_id,store_id,shipping_mode_id,order_date,shipping_date,real_days_for_shipping
55,94,1,8,7012,6792,1,01-01-2015 22:46,01-03-2015 22:46,2
56,409,1,1,9446,8990,1,01-01-2015 23:07,01-04-2015 23:07,3
57,409,2,2,2633,2542,1,01-01-2015 23:28,01-05-2015 23:28,4
58,1213,2,7,3453,2941,1,01-01-2015 23:49,01-06-2015 23:49,5
59,1213,4,4,11121,10337,1,01-02-2015 00:10,01-08-2015 00:10,6
60,2049,1,1,17384,14453,1,01-02-2015 00:31,01-04-2015 00:31,2
61,53,1,1,14485,402,1,01-02-2015 00:52,01-05-2015 00:52,3
62,249,4,4,12162,11222,1,01-02-2015 01:13,01-06-2015 01:13,4
63,249,4,4,4144,3984,1,01-02-2015 01:34,01-07-2015 01:34,5
64,249,4,4,17586,14574,1,01-02-2015 01:55,01-08-2015 01:55,6
65,76,4,4,8235,7875,1,01-02-2015 02:37,01-05-2015 02:37,3
66,70,2,6,4079,3921,1,01-02-2015 04:01,01-04-2015 04:01,2
67,70,1,1,5537,5348,1,01-02-2015 04:43,01-06-2015 04:43,4
68,59,2,6,5532,5344,3,01-02-2015 05:04,01-07-2015 05:04,5
69,1466,3,3,8723,8362,1,01-02-2015 06:07,01-05-2015 06:07,3
70,1466,1,1,7466,7192,1,01-02-2015 06:28,01-06-2015 06:28,4
71,400,1,1,15397,13452,2,01-02-2015 07:31,01-04-2015 07:31,2
72,400,1,1,17457,14484,3,01-02-2015 07:52,01-05-2015 07:52,3
73,245,4,4,837,832,3,01-02-2015 08:13,01-06-2015 08:13,4
74,245,2,6,3415,3297,1,01-02-2015 08:34,01-07-2015 08:34,5
75,245,1,1,2635,2544,2,01-02-2015 08:55,01-04-2015 08:55,2
76,2039,2,2,5545,5356,3,01-02-2015 09:16,01-04-2015 09:16,2
77,2039,2,2,3925,3784,3,01-02-2015 09:37,01-05-2015 09:37,3
78,1122,1,1,613,611,1,01-02-2015 09:59,01-06-2015 09:59,4
79,53,4,4,4811,4649,3,01-02-2015 10:20,01-07-2015 10:20,5
80,53,2,6,13859,12400,3,01-02-2015 10:41,01-08-2015 10:41,6
81,82,3,3,4015,3866,3,01-02-2015 11:02,01-04-2015 11:02,2
82,647,2,6,6992,6773,1,01-02-2015 11:44,01-06-2015 11:44,4
83,647,4,4,3685,3551,1,01-02-2015 12:05,01-07-2015 12:05,5
84,2720,1,1,13881,12422,1,01-02-2015 12:26,01-08-2015 12:26,6
85,59,2,6,17225,14376,1,01-02-2015 12:47,01-04-2015 12:47,2
86,53,1,1,5119,4946,1,01-02-2015 13:08,01-05-2015 13:08,3
87,569,1,1,14527,10002,1,01-02-2015 14:11,01-08-2015 14:11,6
88,400,2,6,12521,971,1,01-02-2015 14:32,01-04-2015 14:32,2
89,258,2,5,329,329,1,01-02-2015 14:53,01-05-2015 14:53,3
90,1475,4,4,7674,7361,1,01-02-2015 15:14,01-06-2015 15:14,4
91,1475,1,1,278,278,4,01-02-2015 15:35,01-03-2015 03:35,1
92,1475,2,6,20278,16252,1,01-02-2015 15:56,01-08-2015 15:56,6
93,1222,3,3,2278,2188,1,01-02-2015 16:17,01-04-2015 16:17,2
94,1126,2,7,2277,2187,1,01-02-2015 16:38,01-05-2015 16:38,3
95,1274,1,1,11565,10718,1,01-02-2015 16:59,01-06-2015 16:59,4
96,1274,4,4,3783,3646,1,01-02-2015 17:20,01-07-2015 17:20,5
97,1274,4,4,7709,7390,2,01-02-2015 17:41,01-04-2015 17:41,2
98,57,2,2,9234,8778,1,01-02-2015 18:02,01-04-2015 18:02,2
99,3467,2,6,3684,3550,1,01-02-2015 18:23,01-05-2015 18:23,3
100,774,4,4,1771,1696,1,01-02-2015 18:44,01-06-2015 18:44,4
101,774,1,1,4367,4207,1,01-02-2015 19:05,01-07-2015 19:05,5
102,1225,4,4,15507,13558,1,01-02-2015 20:08,01-05-2015 20:08,3
103,1225,3,3,9038,8609,1,01-02-2015 20:50,01-07-2015 20:50,5
104,1285,4,4,4918,4753,1,01-02-2015 21:11,01-08-2015 21:11,6
105,59,2,6,17487,14495,1,01-02-2015 21:32,01-04-2015 21:32,2
106,320,2,2,213,213,1,01-02-2015 21:53,01-05-2015 21:53,3
107,53,3,3,14328,12780,3,01-02-2015 22:14,01-06-2015 22:14,4
108,53,4,4,10028,9478,1,01-02-2015 22:35,01-07-2015 22:35,5
109,1230,1,1,5111,4939,1,01-02-2015 22:56,01-08-2015 22:56,6
110,1230,4,4,3425,3306,1,01-02-2015 23:17,01-04-2015 23:17,2
111,1230,1,1,6151,5955,1,01-02-2015 23:38,01-05-2015 23:38,3
112,1316,1,1,6625,6420,1,01-03-2015 00:20,01-08-2015 00:20,5
113,1288,4,4,2430,2340,1,01-03-2015 00:41,01-09-2015 00:41,6
114,1288,1,1,1598,1527,1,01-03-2015 01:02,01-05-2015 01:02,2
115,60,4,4,10741,10067,3,01-03-2015 01:23,01-06-2015 01:23,3
116,60,1,1,8186,7826,1,01-03-2015 01:44,01-07-2015 01:44,4
117,53,1,8,1338,1273,1,01-03-2015 02:26,01-09-2015 02:26,6
118,53,1,1,3064,2958,1,01-03-2015 02:48,01-05-2015 02:48,2
119,1199,4,4,1247,1182,1,01-03-2015 03:09,01-06-2015 03:09,3
120,1199,2,6,3369,3251,1,01-03-2015 03:30,01-07-2015 03:30,4
121,1199,1,1,660,658,4,01-03-2015 03:51,01-03-2015 15:51,0
122,1199,2,6,9790,9247,1,01-03-2015 04:12,01-09-2015 04:12,6
123,77,1,8,2587,2496,3,01-03-2015 04:33,01-05-2015 04:33,2
124,77,1,1,4520,4359,3,01-03-2015 04:54,01-06-2015 04:54,3
125,387,1,8,3667,3533,3,01-03-2015 05:36,01-08-2015 05:36,5
126,58,4,4,8236,7876,3,01-03-2015 05:57,01-09-2015 05:57,6
127,79,1,8,1791,1715,2,01-03-2015 06:18,01-05-2015 06:18,2
128,79,1,8,464,462,2,01-03-2015 06:39,01-05-2015 06:39,2
129,253,2,2,8622,8261,2,01-03-2015 07:00,01-05-2015 07:00,2
130,253,4,4,9937,9390,3,01-03-2015 07:21,01-08-2015 07:21,5
131,850,1,1,4250,4090,1,01-03-2015 07:42,01-09-2015 07:42,6
132,850,4,4,8450,8090,1,01-03-2015 08:03,01-05-2015 08:03,2
133,389,4,4,3793,3656,1,01-03-2015 08:24,01-06-2015 08:24,3
134,389,1,1,8308,7948,1,01-03-2015 08:45,01-07-2015 08:45,4
135,1335,2,6,3375,3257,1,01-03-2015 09:06,01-08-2015 09:06,5
136,1282,4,4,502,500,1,01-03-2015 09:27,01-09-2015 09:27,6
137,56,2,6,15626,13667,1,01-03-2015 09:48,01-05-2015 09:48,2
138,56,2,2,8904,8504,3,01-03-2015 10:09,01-06-2015 10:09,3
139,53,4,4,5646,5452,3,01-03-2015 10:30,01-07-2015 10:30,4
140,400,4,9,1687,1614,3,01-03-2015 11:12,01-09-2015 11:12,6
141,79,1,1,3452,3331,3,01-03-2015 11:33,01-05-2015 11:33,2
142,1219,1,1,6515,6314,1,01-03-2015 11:54,01-06-2015 11:54,3
143,1219,1,8,17446,14474,3,01-03-2015 12:15,01-07-2015 12:15,4
144,1219,1,1,4211,4051,3,01-03-2015 12:36,01-08-2015 12:36,5
145,1219,1,1,3444,3324,2,01-03-2015 12:57,01-05-2015 12:57,2
146,1289,4,4,7977,7625,1,01-03-2015 13:39,01-06-2015 13:39,3
147,1289,1,1,10063,9511,1,01-03-2015 14:00,01-07-2015 14:00,4
148,74,1,1,678,675,1,01-03-2015 14:21,01-08-2015 14:21,5
149,74,1,8,8238,7878,1,01-03-2015 14:42,01-09-2015 14:42,6
150,74,2,2,2692,2601,1,01-03-2015 15:03,01-05-2015 15:03,2
151,74,1,1,10374,9802,1,01-03-2015 15:24,01-06-2015 15:24,3
152,774,1,1,2088,2000,1,01-03-2015 16:06,01-08-2015 16:06,5
153,53,4,4,236,236,1,01-03-2015 16:27,01-09-2015 16:27,6
154,1770,1,1,5737,5542,1,01-03-2015 16:48,01-05-2015 16:48,2
155,1770,2,2,5604,5412,1,01-03-2015 17:30,01-07-2015 17:30,4
156,1770,2,2,13815,12359,1,01-03-2015 17:51,01-08-2015 17:51,5
157,1770,2,2,5607,5415,1,01-03-2015 18:12,01-09-2015 18:12,6
158,1770,3,3,4541,4380,3,01-03-2015 18:33,01-05-2015 18:33,2
159,1770,2,6,10209,9651,4,01-03-2015 18:54,01-04-2015 06:54,1
160,321,2,6,13897,12436,4,01-03-2015 19:15,01-04-2015 07:15,1
161,2050,4,4,812,807,4,01-03-2015 19:36,01-04-2015 07:36,1
162,70,2,6,6390,6194,3,01-03-2015 19:58,01-09-2015 19:58,6
163,253,2,6,5616,2869,1,01-03-2015 20:19,01-05-2015 20:19,2
164,778,2,6,2075,1987,1,01-03-2015 20:40,01-06-2015 20:40,3
165,778,4,4,4078,3920,1,01-03-2015 21:01,01-07-2015 21:01,4
166,1221,4,9,4392,4232,1,01-03-2015 21:43,01-09-2015 21:43,6
167,1221,3,3,4209,4049,1,01-03-2015 22:04,01-05-2015 22:04,2
168,1221,4,4,98,98,1,01-03-2015 22:25,01-06-2015 22:25,3
169,1320,4,4,6519,6318,1,01-03-2015 23:07,01-08-2015 23:07,5
170,1220,2,6,17697,14651,1,01-03-2015 23:28,01-09-2015 23:28,6
171,1220,2,2,6201,6005,1,01-03-2015 23:49,01-05-2015 23:49,2
172,1220,1,1,2276,2186,1,01-04-2015 00:10,01-07-2015 00:10,3
173,64,2,6,11653,10806,1,01-04-2015 00:31,01-08-2015 00:31,4
174,64,2,2,9476,9020,1,01-04-2015 00:52,01-09-2015 00:52,5
175,64,3,3,2462,2372,3,01-04-2015 01:34,01-06-2015 01:34,2
176,64,2,2,5044,4872,1,01-04-2015 01:55,01-07-2015 01:55,3
177,64,3,3,672,670,1,01-04-2015 02:16,01-08-2015 02:16,4
178,53,1,1,14411,2866,1,01-04-2015 02:37,01-09-2015 02:37,5
179,2300,3,3,14836,13110,1,01-04-2015 02:58,01-10-2015 02:58,6
180,53,2,2,3617,3487,1,01-04-2015 03:19,01-06-2015 03:19,2
181,53,2,6,4155,3995,1,01-04-2015 04:22,01-09-2015 04:22,5
182,53,1,1,911,905,1,01-04-2015 04:43,01-10-2015 04:43,6
183,1127,3,3,4970,4800,1,01-04-2015 05:04,01-06-2015 05:04,2
184,1127,3,3,2771,2680,2,01-04-2015 05:25,01-06-2015 05:25,2
185,1127,2,2,2427,2337,2,01-04-2015 05:46,01-06-2015 05:46,2
186,1127,3,3,8237,7877,2,01-04-2015 06:07,01-06-2015 06:07,2
187,1127,1,1,3334,3217,2,01-04-2015 06:28,01-06-2015 06:28,2
188,1127,4,4,882,877,2,01-04-2015 06:49,01-06-2015 06:49,2
189,391,3,3,6954,6736,2,01-04-2015 07:10,01-06-2015 07:10,2
190,388,1,8,13962,12495,2,01-04-2015 07:31,01-06-2015 07:31,2
191,1117,2,2,3623,3493,1,01-04-2015 07:52,01-09-2015 07:52,5
192,1282,4,4,10735,10062,1,01-04-2015 08:13,01-10-2015 08:13,6
193,1282,1,1,6162,5966,1,01-04-2015 08:34,01-06-2015 08:34,2
194,1282,4,4,2421,2331,1,01-04-2015 08:55,01-07-2015 08:55,3
195,1282,1,8,10287,9724,1,01-04-2015 09:37,01-09-2015 09:37,5
196,1218,4,4,12380,958,1,01-04-2015 09:58,01-10-2015 09:58,6
197,1218,1,1,8218,7858,1,01-04-2015 10:19,01-06-2015 10:19,2
198,1521,4,4,618,616,1,01-04-2015 10:40,01-07-2015 10:40,3
199,1319,4,4,8542,8182,1,01-04-2015 11:01,01-08-2015 11:01,4
200,1320,1,1,11791,10944,1,01-04-2015 11:22,01-09-2015 11:22,5
201,1320,2,2,4584,4423,4,01-04-2015 11:43,01-04-2015 23:43,0
202,1210,3,3,4882,4717,1,01-04-2015 12:04,01-06-2015 12:04,2
203,1210,4,9,13917,12454,1,01-04-2015 12:25,01-07-2015 12:25,3
204,1210,1,8,4584,4423,1,01-04-2015 12:47,01-08-2015 12:47,4
205,1210,4,4,2687,2596,1,01-04-2015 13:08,01-09-2015 13:08,5
206,51,3,3,5777,5582,2,01-04-2015 13:29,01-06-2015 13:29,2
207,51,2,7,16672,14125,3,01-04-2015 13:50,01-06-2015 13:50,2
208,1214,1,1,1653,1581,3,01-04-2015 14:11,01-07-2015 14:11,3
209,1214,1,1,9112,8657,1,01-04-2015 14:32,01-08-2015 14:32,4
210,1218,3,3,3451,3330,3,01-04-2015 14:53,01-09-2015 14:53,5
211,1218,1,1,8187,7827,1,01-04-2015 15:14,01-10-2015 15:14,6
212,59,2,2,4507,4346,1,01-04-2015 15:35,01-06-2015 15:35,2
213,64,1,1,12921,11704,1,01-04-2015 15:56,01-07-2015 15:56,3
214,64,1,1,10559,9942,1,01-04-2015 16:17,01-08-2015 16:17,4
215,64,1,1,8698,8337,1,01-04-2015 16:38,01-09-2015 16:38,5
216,389,1,1,5878,5683,3,01-04-2015 16:59,01-10-2015 16:59,6
217,69,3,3,7659,1944,1,01-04-2015 17:20,01-06-2015 17:20,2
218,69,2,6,14402,9932,3,01-04-2015 17:41,01-07-2015 17:41,3
219,59,1,1,3966,3822,3,01-04-2015 18:23,01-09-2015 18:23,5
220,59,3,3,5260,5086,1,01-04-2015 18:44,01-10-2015 18:44,6
221,1200,3,3,3903,3762,1,01-04-2015 19:26,01-07-2015 19:26,3
222,405,1,1,2004,1920,1,01-04-2015 19:47,01-08-2015 19:47,4
223,1333,1,1,6455,6259,1,01-04-2015 20:08,01-09-2015 20:08,5
224,2037,4,4,7732,7413,2,01-04-2015 20:29,01-06-2015 20:29,2
225,85,1,1,10288,9725,2,01-04-2015 20:50,01-06-2015 20:50,2
226,254,3,3,2776,2685,2,01-04-2015 21:11,01-06-2015 21:11,2
227,1461,3,3,4186,4026,2,01-04-2015 21:32,01-06-2015 21:32,2
228,1461,2,6,512,510,1,01-04-2015 21:53,01-09-2015 21:53,5
229,2721,1,1,8158,7798,1,01-04-2015 22:35,01-06-2015 22:35,2
230,2721,3,3,10729,10057,1,01-04-2015 22:56,01-07-2015 22:56,3
231,391,4,4,14131,12663,1,01-04-2015 23:17,01-08-2015 23:17,4
232,57,2,2,1437,1366,4,01-04-2015 23:38,01-05-2015 11:38,1
233,57,4,4,7976,7624,4,01-04-2015 23:59,01-05-2015 11:59,1
234,56,2,2,15224,9933,4,01-05-2015 00:41,01-05-2015 12:41,0
235,56,4,9,7732,7413,1,01-05-2015 01:02,01-09-2015 01:02,4
236,62,1,1,2462,2372,1,01-05-2015 01:23,01-10-2015 01:23,5
237,3469,2,2,8726,8365,1,01-05-2015 01:44,01-11-2015 01:44,6
238,1290,4,4,3150,3039,1,01-05-2015 02:05,01-07-2015 02:05,2
239,56,4,4,15459,13511,1,01-05-2015 02:26,01-08-2015 02:26,3
240,1214,1,1,1273,1208,3,01-05-2015 02:47,01-09-2015 02:47,4
241,1224,2,6,5880,5685,3,01-05-2015 03:08,01-10-2015 03:08,5
242,2720,3,3,587,585,1,01-05-2015 03:29,01-11-2015 03:29,6
243,2720,1,8,7013,6793,1,01-05-2015 03:50,01-07-2015 03:50,2
244,2720,1,1,9311,8855,3,01-05-2015 04:11,01-08-2015 04:11,3
245,2720,1,1,4963,4794,3,01-05-2015 04:32,01-09-2015 04:32,4
246,1346,4,4,11688,10841,1,01-05-2015 04:53,01-10-2015 04:53,5
247,397,1,1,4635,4473,1,01-05-2015 05:14,01-11-2015 05:14,6
248,261,4,4,9035,8606,1,01-05-2015 05:57,01-08-2015 05:57,3
249,2545,2,6,11490,10644,1,01-05-2015 06:18,01-09-2015 06:18,4
250,405,3,3,7919,7570,1,01-05-2015 06:39,01-10-2015 06:39,5
251,1319,2,2,2889,2798,1,01-05-2015 07:00,01-11-2015 07:00,6
252,1319,1,1,14261,12722,2,01-05-2015 07:21,01-07-2015 07:21,2
253,1319,2,2,3902,3761,1,01-05-2015 07:42,01-08-2015 07:42,3
254,1663,4,4,1557,1486,1,01-05-2015 08:24,01-10-2015 08:24,5
255,57,3,3,2180,2090,1,01-05-2015 08:45,01-11-2015 08:45,6
256,1224,1,1,1541,1470,1,01-05-2015 09:06,01-07-2015 09:06,2
257,1224,1,1,2168,723,1,01-05-2015 09:27,01-08-2015 09:27,3
258,59,4,4,5594,5402,1,01-05-2015 09:48,01-09-2015 09:48,4
259,59,1,1,4962,4793,3,01-05-2015 10:09,01-10-2015 10:09,5
260,1229,1,8,11466,10620,3,01-05-2015 10:30,01-11-2015 10:30,6
261,1229,1,1,1650,1579,3,01-05-2015 10:51,01-07-2015 10:51,2
262,388,2,2,5874,5679,3,01-05-2015 11:12,01-08-2015 11:12,3
263,388,4,4,6253,6057,2,01-05-2015 11:33,01-07-2015 11:33,2
264,242,1,1,2577,2486,3,01-05-2015 12:36,01-07-2015 12:36,2
265,242,1,1,9001,8576,3,01-05-2015 12:57,01-08-2015 12:57,3
266,70,3,3,8217,7857,3,01-05-2015 13:18,01-09-2015 13:18,4
267,70,4,4,7331,7069,3,01-05-2015 13:39,01-10-2015 13:39,5
268,70,4,4,13919,376,1,01-05-2015 14:00,01-11-2015 14:00,6
269,70,2,6,14118,12650,3,01-05-2015 14:21,01-07-2015 14:21,2
270,396,4,4,3575,3447,2,01-05-2015 15:03,01-07-2015 15:03,2
271,396,1,1,15498,13549,2,01-05-2015 15:24,01-07-2015 15:24,2
272,3581,2,7,5496,5310,1,01-05-2015 15:45,01-11-2015 15:45,6
273,57,1,8,7061,961,3,01-05-2015 16:06,01-07-2015 16:06,2
274,1118,4,4,4802,4640,3,01-05-2015 16:48,01-09-2015 16:48,4
275,78,1,1,3247,3131,1,01-05-2015 17:09,01-10-2015 17:09,5
276,78,2,2,4567,4406,1,01-05-2015 17:30,01-11-2015 17:30,6
277,78,4,4,4225,4065,1,01-05-2015 17:51,01-07-2015 17:51,2
278,774,2,2,8035,7675,1,01-05-2015 18:12,01-08-2015 18:12,3
279,1472,1,1,8091,7731,1,01-05-2015 18:33,01-09-2015 18:33,4
280,1472,1,1,3588,3460,4,01-05-2015 19:15,01-06-2015 07:15,1
281,2914,1,1,9447,8991,2,01-05-2015 19:57,01-07-2015 19:57,2
282,2914,4,4,3684,3550,1,01-05-2015 20:18,01-09-2015 20:18,4
283,59,4,4,83,83,1,01-05-2015 20:39,01-10-2015 20:39,5
284,50,2,2,3599,3470,1,01-05-2015 21:00,01-11-2015 21:00,6
285,75,2,2,7220,6978,1,01-05-2015 21:21,01-07-2015 21:21,2
286,75,1,1,12862,11650,1,01-05-2015 21:42,01-08-2015 21:42,3
287,1381,1,1,11789,10942,1,01-05-2015 22:03,01-09-2015 22:03,4
288,62,2,2,10313,9749,1,01-05-2015 22:24,01-10-2015 22:24,5
289,59,1,8,10061,9509,3,01-05-2015 23:28,01-08-2015 23:28,3
290,2471,1,1,8987,8568,3,01-05-2015 23:49,01-09-2015 23:49,4
291,2471,2,6,14976,13173,3,01-06-2015 00:31,01-12-2015 00:31,6
292,1219,1,1,5914,5719,3,01-06-2015 01:13,01-09-2015 01:13,3
293,1199,1,1,3407,3289,1,01-06-2015 01:34,01-10-2015 01:34,4
294,1199,1,1,8100,7740,1,01-06-2015 01:55,01-11-2015 01:55,5
295,1483,1,1,1614,1543,1,01-06-2015 02:16,01-12-2015 02:16,6
296,1333,1,1,11756,10909,1,01-06-2015 02:37,01-08-2015 02:37,2
297,1333,4,4,6717,6510,1,01-06-2015 02:58,01-09-2015 02:58,3
298,1333,2,6,14965,13165,1,01-06-2015 03:19,01-10-2015 03:19,4
299,1333,2,6,11780,10933,1,01-06-2015 03:40,01-11-2015 03:40,5
300,1333,2,6,13862,12403,1,01-06-2015 04:01,01-12-2015 04:01,6
301,1333,2,2,12810,11604,1,01-06-2015 04:22,01-08-2015 04:22,2
302,76,1,1,5326,5151,3,01-06-2015 04:43,01-09-2015 04:43,3
303,76,2,2,2544,2453,3,01-06-2015 05:04,01-10-2015 05:04,4
304,76,4,4,6313,6117,3,01-06-2015 05:25,01-11-2015 05:25,5
305,76,1,1,2500,2410,3,01-06-2015 05:46,01-12-2015 05:46,6
306,1521,2,6,15625,13666,4,01-06-2015 06:28,01-06-2015 18:28,0
307,1521,3,3,7080,6852,4,01-06-2015 06:49,01-06-2015 18:49,0
308,1521,2,6,2281,2191,1,01-06-2015 07:10,01-11-2015 07:10,5
309,246,4,4,15815,13833,1,01-06-2015 07:31,01-12-2015 07:31,6
310,246,4,4,2722,2631,1,01-06-2015 07:52,01-08-2015 07:52,2
311,256,2,6,321,321,1,01-06-2015 08:13,01-09-2015 08:13,3
312,94,1,1,2039,1951,1,01-06-2015 08:34,01-10-2015 08:34,4
313,94,4,4,7313,7051,1,01-06-2015 09:16,01-12-2015 09:16,6
314,408,1,1,8043,7683,1,01-06-2015 09:58,01-09-2015 09:58,3
315,408,2,2,11755,10908,3,01-06-2015 10:19,01-10-2015 10:19,4
316,408,2,6,2917,2825,3,01-06-2015 11:01,01-12-2015 11:01,6
317,53,2,2,4492,4331,3,01-06-2015 11:22,01-08-2015 11:22,2
318,53,2,6,2887,2796,3,01-06-2015 11:43,01-09-2015 11:43,3
319,1319,4,4,239,239,3,01-06-2015 12:04,01-10-2015 12:04,4
320,2051,1,8,5166,4993,1,01-06-2015 13:07,01-08-2015 13:07,2
321,400,2,6,13819,12363,3,01-06-2015 13:28,01-09-2015 13:28,3
322,392,4,4,3899,3758,3,01-06-2015 13:49,01-10-2015 13:49,4
323,392,3,3,806,801,2,01-06-2015 14:10,01-08-2015 14:10,2
324,392,1,1,1950,1869,3,01-06-2015 14:31,01-12-2015 14:31,6
325,778,2,2,5925,5730,1,01-06-2015 14:52,01-08-2015 14:52,2
326,267,3,3,11492,10646,1,01-06-2015 15:13,01-09-2015 15:13,3
327,253,1,1,1469,1398,1,01-06-2015 15:35,01-10-2015 15:35,4
328,391,1,1,1759,29,1,01-06-2015 15:56,01-11-2015 15:56,5
329,1313,2,2,5811,5616,1,01-06-2015 16:17,01-12-2015 16:17,6
330,53,4,4,12373,11372,1,01-06-2015 16:38,01-08-2015 16:38,2
331,53,2,2,3992,3846,1,01-06-2015 16:59,01-09-2015 16:59,3
332,53,3,3,20451,16358,1,01-06-2015 17:20,01-10-2015 17:20,4
333,53,4,4,3247,3131,1,01-06-2015 17:41,01-11-2015 17:41,5
334,53,1,1,1461,1390,1,01-06-2015 18:02,01-12-2015 18:02,6
335,53,4,9,2275,2185,1,01-06-2015 18:23,01-08-2015 18:23,2
336,1348,3,3,7016,6796,1,01-06-2015 18:44,01-09-2015 18:44,3
337,95,1,8,14406,12844,1,01-06-2015 19:05,01-10-2015 19:05,4
338,95,2,6,129,129,1,01-06-2015 19:26,01-11-2015 19:26,5
339,53,2,6,3231,3117,1,01-06-2015 20:08,01-08-2015 20:08,2
340,1671,4,4,6659,6453,1,01-06-2015 20:29,01-09-2015 20:29,3
341,405,1,1,6595,6390,1,01-06-2015 20:50,01-10-2015 20:50,4
342,405,3,3,8828,8454,1,01-06-2015 21:11,01-11-2015 21:11,5
343,1464,1,1,7005,6785,1,01-06-2015 21:32,01-12-2015 21:32,6
344,1339,2,6,10771,10094,1,01-06-2015 22:14,01-09-2015 22:14,3
